,"BatchID","Glucose concentration","Pyruvate concentration","Acetald concentration","Acetate concentration","Ethanol concentration","Active cell material","Acetaldehyde dehydrogenase","Specific oxygen uptake rate","Specific carbon dioxide evolution rate","Biomass"
"9#174",9,0.05987688,0.001154858,-0.004052496,0.002282496,-0.003800924,0.649293,0.08404557,0.633168,0.6997566,8.345041
"9#175",9,-0.582836,-0.0004728868,0.05177945,0.0002963881,0.08581266,0.6551126,0.08320347,0.2985081,0.2799632,8.604911
"9#176",9,-0.01898663,0.0001750708,-0.001035366,-0.001022825,0.1025042,0.6458632,0.08285991,0.07510918,-0.1541032,8.527208
"9#177",9,-0.03731871,-2.051845E-05,0.03705506,-0.0005285037,-0.2292826,0.6492284,0.08208528,-0.02671787,-0.3976007,8.427956
"9#178",9,0.402647,0.0001094102,-0.01111837,-0.002159135,-0.2441491,0.6510954,0.0829284,0.01322331,0.6054281,8.566289
"9#179",9,-0.6902404,0.0001841842,-0.004985561,0.001509526,-0.0643269,0.65088,0.08217963,-0.006417576,-0.2649998,8.381045
"9#180",9,0.3780892,0.0004731592,-0.02255508,0.0006640221,-0.1390866,0.6499078,0.08170631,-0.2692382,0.01831728,8.389455
"9#181",9,0.5646163,-0.0005334209,-0.008191553,0.0002837123,0.06276111,0.6527019,0.08169052,0.02772062,0.07008559,8.478692
"9#182",9,-0.4580908,0.0005098845,-0.02507093,-0.001037564,-0.3255775,0.6475707,0.08137035,0.04947013,0.1579598,8.471154
"9#183",9,-0.1708814,-0.0001519359,0.00697768,0.0003230245,0.07445434,0.6496227,0.08073267,0.1632067,-0.2708796,8.373871
"9#184",9,0.07431021,0.0005750254,-0.01307073,-0.0005559499,0.06499166,0.650906,0.07936448,0.0317964,0.2051723,8.486918
"9#185",9,-0.2642531,0.0004144883,0.01770447,-0.0009433517,-0.1114108,0.648914,0.08026309,-0.04967896,0.1012983,8.390277
"9#186",9,-0.4788725,0.0005866785,0.0165252,0.001198488,0.1397645,0.6475095,0.0787798,0.137372,0.3419213,8.495433
"9#187",9,0.3615237,0.0002673621,0.02333972,-0.002627745,0.07838014,0.6515368,0.07791384,-0.09991625,-0.496583,8.453712
"9#188",9,-0.3109183,0.0003399171,0.01834572,-0.0005309882,0.1014868,0.6504744,0.07592455,0.2448798,-0.4769039,8.536893
"9#189",9,-0.8084072,-2.302009E-05,-0.02555888,0.001238738,-0.06810907,0.6536888,0.07653114,0.1502271,-0.1062366,8.620043
"10#1",10,29.76578,-0.0005763706,0.009494324,0.0016517,0.1048822,0.1011986,0.007787147,1.36387,-0.1153219,0.09456434
"10#2",10,29.75124,-0.0003781477,0.05028429,0.001676781,0.06998156,0.1040458,0.007488369,1.568979,0.6303933,-0.08809207
"10#3",10,30.38863,0.0003969404,-0.008312526,0.00090889,-0.2004417,0.1024889,0.008384114,1.364203,0.7773266,-0.07602415
"10#4",10,29.83139,0.0006705406,-0.02539141,-0.0005829133,-0.1801218,0.1059857,0.007416406,1.580867,0.8745633,0.01922228
"10#5",10,30.74457,0.0004238339,-0.01679194,0.0007839925,0.01580853,0.1170313,0.007629805,1.723552,0.860055,0.1477938
"10#6",10,29.03575,0.001005001,-0.01090363,0.0001855658,0.1622999,0.1208163,0.007302766,1.973886,0.9454976,-0.09192904
"10#7",10,30.19952,-0.0001878073,-0.008784962,0.0002555275,0.04230044,0.1258385,0.007407644,1.995834,0.4565825,0.08588251
"10#8",10,30.19991,0.0009482259,-0.01171721,-0.0009766314,-0.04214025,0.13227,0.00753688,2.021862,1.382902,-0.03062159
"10#9",10,30.15096,0.001109544,0.02184239,-0.001297008,0.1305761,0.1505447,0.006690745,2.695086,1.565266,-0.01066841
"10#10",10,30.12546,0.0006833029,0.004062128,-0.0003917225,-0.1747964,0.171695,0.006184768,2.85416,1.332691,0.04167072
"10#11",10,29.74681,0.001553277,0.01529488,-0.0005558419,-0.02767283,0.199824,0.006081562,3.214671,1.77558,-0.04150761
"10#12",10,29.81552,0.001495764,-0.01948833,-0.0006772164,-0.1746835,0.2261513,0.006107503,3.71568,1.137638,0.009797094
"10#13",10,29.91762,0.001919471,0.02498506,-0.001481425,0.1363795,0.2480231,0.005853887,4.336296,2.474812,0.03569644
"10#14",10,29.72883,0.002886438,0.001182068,0.001042509,-0.05390767,0.2818635,0.006598006,4.982923,2.391015,-0.08162069
"10#15",10,29.7045,0.00387543,-0.0216116,9.376874E-05,-0.1348922,0.3226575,0.005841224,5.316834,2.201822,0.01740278
"10#16",10,30.14981,0.004789719,-0.004316825,0.000422626,0.005893434,0.3580535,0.006128751,6.032396,2.672361,0.03792928
"10#17",10,30.11823,0.007586293,-0.02725708,0.0002807282,-0.02464134,0.3941466,0.005153484,6.41639,3.454767,0.1064139
"10#18",10,30.40928,0.009771887,-0.001381902,0.000720065,-0.1094776,0.4133052,0.004932185,7.095424,3.332001,-0.01914252
"10#19",10,30.33594,0.01021462,-0.0007881369,-0.0006081354,0.09309698,0.4313081,0.005156215,7.154591,4.667164,-0.01308596
"10#20",10,30.28921,0.01261887,-0.01315971,-0.0005690458,0.09521275,0.4439093,0.004728798,7.466528,5.36889,-0.003162373
"10#21",10,30.27611,0.01539658,-0.002193317,-0.0002399678,-0.09228686,0.4582333,0.005183857,7.672825,5.33907,-0.1051939
"10#22",10,29.80964,0.01657514,0.01396672,0.00183108,0.02563953,0.4685357,0.004440944,7.64686,8.407068,-0.0287314
"10#23",10,30.00233,0.01796623,-0.008241476,0.001965279,-0.007833853,0.4764696,0.004543729,7.668743,9.134029,0.1087234
"10#24",10,29.47657,0.01918307,-0.01812743,0.001695919,-0.06058654,0.4847861,0.004590099,7.66093,11.47832,-0.01144897
"10#25",10,30.28484,0.0196225,-0.000646983,0.001449727,0.03225397,0.4917052,0.004650595,7.439608,12.82921,-0.04765848
"10#26",10,29.55297,0.02119862,0.03016751,0.002207624,0.05355079,0.4964258,0.005480683,7.168231,13.02581,0.118636
"10#27",10,30.59995,0.02275948,-0.01492195,-0.001275139,-0.07653964,0.5051395,0.004929732,7.24536,14.47833,0.1483921
"10#28",10,29.4833,0.02231676,-0.03226471,-0.0002897739,-0.1802639,0.5068448,0.004428004,6.855475,14.90608,0.1251732
"10#29",10,29.64461,0.02257627,-0.0050871,0.001366741,-0.1762029,0.5177015,0.003897894,6.545215,15.76006,0.05481226
"10#30",10,29.58322,0.02304815,0.0246916,0.004112651,-0.1395693,0.5160623,0.004776396,6.076023,16.69871,0.04048377
"10#31",10,29.61601,0.02376231,0.05551814,0.002468707,0.0410608,0.5228342,0.004603921,5.979631,17.10704,-0.004123327
"10#32",10,30.29032,0.0237336,0.0298162,0.002484188,0.02230701,0.5247584,0.003624545,6.015974,18.3346,0.03776637
"10#33",10,29.86904,0.02435784,0.03590978,0.002362863,0.06383794,0.5225732,0.004812056,5.662599,18.29455,0.1584319
"10#34",10,30.13601,0.02492679,0.01770149,0.001956369,-0.07787728,0.5312208,0.004515659,5.473306,18.93701,0.07743888
"10#35",10,29.66592,0.02456732,0.0144205,0.003019985,-0.1770365,0.5311577,0.004785052,5.163266,19.7784,0.06865848
"10#36",10,29.55922,0.02523382,0.03937496,0.002315947,0.1282398,0.5357064,0.005198922,4.934025,20.67524,0.06806067
"10#37",10,29.87182,0.02676109,0.0346565,0.00153667,0.02229434,0.5365027,0.004423037,5.123415,21.61947,0.2292177
"10#38",10,29.02567,0.0266168,0.09653307,0.004130858,0.07991657,0.5413774,0.00554957,4.938495,22.42169,0.1161969
"10#39",10,29.97105,0.02733793,0.02324595,0.002404001,0.4541189,0.5413372,0.004067501,5.025032,22.81798,0.2375115
"10#40",10,29.10752,0.02826757,0.1083243,0.007413394,0.01906952,0.5454797,0.004885641,5.507079,24.42459,0.1951572
"10#41",10,28.613,0.02911831,0.02560775,0.009177485,0.3334776,0.5437337,0.004879876,5.600236,25.63919,0.3791626
"10#42",10,27.27807,0.0309739,0.0989773,0.01269589,0.6238828,0.5442203,0.003724415,5.790905,28.0339,0.4273267
"10#43",10,26.78472,0.03273345,0.1608884,0.01618098,1.036188,0.5430074,0.003482185,5.958191,29.45171,0.5412095
"10#44",10,25.76278,0.03458263,0.2279115,0.02154584,1.319041,0.5400723,0.003615316,6.235097,31.2896,0.7852919
"10#45",10,23.71108,0.03580568,0.3217809,0.02738525,2.03281,0.552043,0.00340973,6.671536,32.36282,1.087499
"10#46",10,21.49588,0.03724549,0.5126308,0.03617866,2.933568,0.5457522,0.004566105,6.907156,33.82557,1.56824
"10#47",10,16.89476,0.03801412,0.7567286,0.04900031,4.116177,0.5509347,0.003863167,7.367402,34.92326,2.046532
"10#48",10,12.10226,0.0376937,1.0175,0.06657383,5.960291,0.5472845,0.003096188,8.258752,35.24018,2.774441
"10#49",10,9.970888,0.03843022,1.140554,0.07224268,6.237702,0.5429811,0.004566393,8.420346,35.03639,3.092659
"10#50",10,8.527839,0.03775926,1.3114,0.07748093,7.147955,0.5494236,0.003716253,9.003042,35.80035,3.31326
"10#51",10,5.841952,0.03592765,1.396208,0.0864806,7.769011,0.5477227,0.004334964,9.445413,36.36956,3.638323
"10#52",10,4.061071,0.03539301,1.483103,0.09217138,8.607175,0.5496779,0.004059914,10.12286,36.25432,4.025757
"10#53",10,2.18946,0.03384732,1.53926,0.09939516,9.339519,0.5459756,0.0042536,10.56326,36.09833,4.308996
"10#54",10,1.15087,0.03288136,1.592207,0.1016755,9.539104,0.5441751,0.003994743,10.22871,35.23507,4.362636
"10#55",10,0.8708035,0.03081471,1.531906,0.1033245,9.881428,0.5436484,0.004411235,10.14245,33.63719,4.465138
"10#56",10,0.1746022,0.02987085,1.580277,0.1039338,9.650322,0.5476441,0.004477189,9.842201,33.47311,4.517508
"10#57",10,0.6231071,0.02870839,1.543305,0.1057201,10.12221,0.5459994,0.005130967,8.900041,31.92043,4.469422
"10#58",10,0.1146829,0.02807593,1.512002,0.1035013,9.867043,0.5436499,0.004565629,8.829173,31.3829,4.490693
"10#59",10,0.221614,0.02726539,1.55243,0.1042642,10.02295,0.5457987,0.00462812,8.314551,29.37011,4.419446
"10#60",10,-0.02533496,0.02628911,1.543745,0.104545,9.948732,0.5481994,0.004421224,7.606259,28.52094,4.494738
"10#61",10,0.4270619,0.02520084,1.578888,0.1050324,9.664273,0.5456093,0.005090219,6.9603,27.16946,4.453015
"10#62",10,-0.5684848,0.02507415,1.570117,0.1042732,10.02438,0.543659,0.005251119,6.191516,27.12431,4.524174
"10#63",10,-0.1508743,0.02321343,1.567739,0.105785,9.817689,0.5453472,0.003405873,4.936752,25.59697,4.495703
"10#64",10,0.02533094,0.02164223,1.560802,0.1025734,9.9319,0.5436088,0.004870203,3.913442,24.35598,4.396629
"10#65",10,-0.09084367,0.01858302,1.56473,0.1014133,9.769164,0.5493951,0.003912012,4.440434,23.16424,4.513943
"10#66",10,0.2032405,0.01651559,1.537899,0.0994414,10.04283,0.5472504,0.005231181,4.368944,21.52342,4.385779
"10#67",10,-0.7472576,0.01440644,1.520892,0.09906975,9.84691,0.5438978,0.00470742,4.59062,19.77143,4.517057
"10#68",10,0.1674376,0.0137024,1.529135,0.0985135,9.911369,0.5449231,0.003912276,4.318366,19.27163,4.488436
"10#69",10,0.4701076,0.01252822,1.530472,0.09734245,9.878769,0.5465331,0.005644983,4.596642,19.53799,4.518048
"10#70",10,0.1567995,0.01207173,1.530988,0.09790765,9.849329,0.5426657,0.004722632,4.638196,19.73015,4.555694
"10#71",10,-0.4565014,0.01208222,1.555006,0.1008781,10.16324,0.5457386,0.005342497,4.58974,18.93369,4.435236
"10#72",10,-0.1041745,0.01243856,1.516224,0.09703024,9.920664,0.5441991,0.00427139,4.597506,18.78041,4.512274
"10#73",10,0.07817367,0.01139172,1.552953,0.09585115,9.879526,0.5450062,0.005066313,4.401615,18.97868,4.59783
"10#74",10,0.9144276,0.008606021,1.530509,0.09305483,9.978951,0.5453255,0.005254485,4.265274,18.78829,4.433931
"10#75",10,-0.1897456,0.006974396,1.472924,0.09438425,9.896133,0.54688,0.005606108,4.413665,18.38717,4.533363
"10#76",10,-0.008169687,0.005469817,1.556761,0.08974737,9.765744,0.5448375,0.004999127,4.344781,16.75489,4.470018
"10#77",10,0.05333763,0.004588646,1.503072,0.08989476,9.7377,0.542721,0.005391288,4.246429,16.97627,4.471433
"10#78",10,0.1020282,0.001610945,1.495807,0.08624507,9.756825,0.5470393,0.004468339,4.058275,16.40272,4.538438
"10#79",10,-0.4294778,0.001523243,1.45886,0.0850294,9.840902,0.5430075,0.005025841,3.861274,17.05089,4.468699
"10#80",10,0.1767693,-0.000268938,1.467312,0.084714,10.14154,0.5425381,0.005478849,3.659577,16.24633,4.501478
"10#81",10,-0.2877671,0.0004724536,1.49986,0.08537998,9.962093,0.5418025,0.004932204,3.892935,15.45431,4.597318
"10#82",10,-0.5352163,0.0007981398,1.465675,0.08258432,9.887562,0.5443931,0.005149329,3.559703,16.50664,4.417605
"10#83",10,0.04726677,0.0003340005,1.514437,0.08275488,9.789257,0.5415403,0.005437329,2.761023,15.12419,4.424615
"10#84",10,-0.361377,0.0002041347,1.516917,0.0825789,9.912819,0.5467494,0.005888641,0.9945778,13.56434,4.562045
"10#85",10,0.1167604,-0.0004462161,1.482477,0.08278661,10.13854,0.549396,0.00465118,-2.523857,9.297964,4.450011
"10#86",10,-0.4646094,0.0002731851,1.494817,0.08262049,9.831844,0.5458801,0.005575814,-3.743121,7.480166,4.482703
"10#87",10,0.1798051,4.660405E-05,1.437016,0.08362595,10.03849,0.5422125,0.005109616,-3.766977,7.187653,4.632195
"10#88",10,-0.1787902,1.004919E-05,1.500256,0.08086162,9.84984,0.5439581,0.004564439,-3.622665,8.132892,4.610284
"10#89",10,0.1183343,-0.0009132142,1.484493,0.08407852,10.06036,0.5488269,0.004702134,-3.663382,7.754008,4.548607
"10#90",10,0.56357,-0.0003100181,1.508335,0.0801839,10.05473,0.5458078,0.005559017,-3.898836,7.504027,4.524132
"10#91",10,0.4255471,-0.0002592051,1.479024,0.07870533,9.983688,0.545298,0.004688985,-3.875681,7.630109,4.509863
"10#92",10,0.3719962,0.0003681586,1.482404,0.07987968,10.10635,0.5447169,0.005058927,-3.899675,8.288824,4.478043
"10#93",10,0.2105111,-4.824207E-05,1.445655,0.07464068,10.01211,0.5436342,0.005241672,-4.174874,7.365952,4.412468
"10#94",10,-0.1950968,0.0004006206,1.454105,0.07160524,10.16955,0.5420685,0.004988108,-3.983934,6.826897,4.605297
"10#95",10,-0.1345099,-0.0003217486,1.42839,0.06925827,10.07458,0.5427384,0.004660012,-4.257402,6.870517,4.429544
"10#96",10,-0.4626222,0.0003471199,1.457546,0.06461561,9.996624,0.5434799,0.005135627,-4.435201,6.170226,4.571773
"10#97",10,0.3013415,0.0001594807,1.436037,0.06033374,10.3284,0.5465669,0.00585744,-4.578059,6.533501,4.364867
"10#98",10,0.02888859,-0.0004317053,1.417887,0.05938573,10.02696,0.546809,0.004863075,-4.754829,6.215703,4.506505
"10#99",10,-1.140098,-0.0008902998,1.403495,0.05363159,10.09924,0.5416614,0.005515787,-4.919455,5.892048,4.606028
"10#100",10,0.3337324,5.94858E-06,1.328687,0.05239087,10.1844,0.5493728,0.004626646,-5.252128,6.09842,4.513682
"10#101",10,0.4328399,-9.359592E-06,1.316435,0.04540163,10.03226,0.5469457,0.005326062,-5.621504,5.363997,4.671641
"10#102",10,-0.5784728,0.0003031247,1.239277,0.03624318,10.20669,0.5422953,0.005143109,-6.297572,4.5302,4.539531
"10#103",10,-0.2699829,-0.0007072684,1.217926,0.02997506,10.15709,0.547845,0.0056517,-6.489332,4.162238,4.574595
"10#104",10,0.2027776,-0.0004286774,1.256361,0.02694487,10.22649,0.5493177,0.006616322,-6.844903,2.675586,4.498363
"10#105",10,0.404428,0.0006795596,1.148255,0.01692586,10.1459,0.5474836,0.006302075,-7.638848,2.482798,4.582376
"10#106",10,-0.5915524,0.0002886597,1.135902,0.01097021,10.31562,0.549094,0.006624754,-7.90337,1.850923,4.469173
"10#107",10,0.1535138,-0.0002732161,1.028263,0.008504904,10.2941,0.5462234,0.005586606,-8.168566,1.445642,4.605887
"10#108",10,-0.04361122,-0.000104328,0.965646,0.006761841,10.35482,0.5453749,0.007612832,-7.733314,1.115836,4.60942
"10#109",10,-0.5311172,0.0001187955,0.9387892,0.009046033,10.3987,0.5454339,0.007551373,-7.578847,0.5825703,4.571522
"10#110",10,-0.4914619,-0.0005549781,0.8490286,0.004275522,10.54888,0.5439571,0.007334416,-7.466001,1.101136,4.543299
"10#111",10,0.4915118,0.0007950224,0.7633401,0.003692661,10.649,0.5442053,0.008002917,-7.065464,0.09148923,4.587735
"10#112",10,0.3372945,0.000140096,0.6721414,0.002818939,10.96771,0.5460121,0.007658467,-6.569174,0.7962712,4.467663
"10#113",10,-0.174797,0.0002178534,0.6950253,0.003465852,10.90299,0.5422255,0.009070131,-6.017529,-0.0395247,4.466285
"10#114",10,0.1155872,-0.0005779591,0.5694724,0.001772551,10.98208,0.5421845,0.009653427,-5.467292,0.6757978,4.482782
"10#115",10,-0.157481,0.0001894664,0.4424293,0.002902189,10.90267,0.5424871,0.01012215,-4.116753,0.729337,4.447991
"10#116",10,0.4975128,0.000330042,0.3965702,0.004693167,11.06474,0.5405785,0.0108277,-3.378717,1.581714,4.466671
"10#117",10,-0.7198426,-0.000161565,0.415189,0.006829777,11.02555,0.5410029,0.01192718,-2.517436,0.4463978,4.649489
"10#118",10,0.3402177,-0.0002643034,0.3477558,0.004744089,11.16117,0.5418139,0.01299769,-1.568643,1.087577,4.610427
"10#119",10,0.3743087,7.386676E-05,0.2823905,0.006636426,11.32302,0.5443949,0.01293934,-0.7396232,0.5193731,4.522316
"10#120",10,-0.1739097,-4.453306E-05,0.1919457,0.006533978,11.25765,0.539591,0.01460442,0.5284256,1.003963,4.626397
"10#121",10,0.556699,-0.0003131028,0.203765,0.00697897,11.18329,0.5387734,0.01622417,1.360516,1.737862,4.562346
"10#122",10,-0.2881052,-0.0002608307,0.1456594,0.006366355,11.21503,0.5375896,0.01667553,1.977766,1.118337,4.564532
"10#123",10,0.4425432,-6.645047E-05,0.1302892,0.01150997,11.29781,0.5364372,0.01889472,2.26224,1.124422,4.552772
"10#124",10,-0.3765337,0.0008176304,0.09326649,0.009296995,11.12554,0.5376968,0.01974876,2.534311,0.6844079,4.580493
"10#125",10,-0.3066429,-0.0002605317,0.07514177,0.01004786,11.16488,0.5345689,0.02126941,2.811872,0.8980984,4.542322
"10#126",10,-0.04530555,-0.0004717259,0.138828,0.01316767,11.19624,0.5284446,0.02454578,2.837636,1.445442,4.534125
"10#127",10,-0.04253094,-3.47528E-05,0.1017234,0.01392082,11.314,0.5325037,0.0241956,3.190373,2.245005,4.553888
"10#128",10,-0.2329266,0.0009646735,0.08137412,0.01364957,10.89829,0.5266531,0.02709125,3.498959,1.800968,4.588758
"10#129",10,0.4047451,-0.0006503378,0.08717279,0.01445766,11.15153,0.531001,0.02819522,3.817765,1.851684,4.622133
"10#130",10,-0.2660131,0.0001112648,0.06322107,0.01770759,11.0028,0.5268649,0.03374064,4.635828,2.910496,4.526304
"10#131",10,0.3861212,0.0003153299,0.1006671,0.02253223,10.83905,0.5253687,0.03865627,5.220743,2.748215,4.749964
"10#132",10,-0.08699085,0.0008446553,0.07459472,0.02556027,10.70799,0.5245618,0.04463509,5.822332,3.447343,4.760908
"10#133",10,-0.4216628,-0.0003130213,0.08721222,0.02809707,10.58118,0.5240962,0.04841608,6.329951,4.263241,4.771202
"10#134",10,-0.3371548,8.43907E-05,0.06730304,0.03446721,10.1463,0.528375,0.05743766,7.566833,4.750617,5.041399
"10#135",10,-0.4121744,-0.000452305,0.05491844,0.04042977,10.00555,0.5307086,0.06097293,8.033543,4.827604,5.021173
"10#136",10,-1.021559,0.0008514269,0.06137087,0.04033178,9.758996,0.5276225,0.06321631,8.271087,4.85588,5.163583
"10#137",10,-0.006339428,-0.0001879747,0.07157492,0.046243,9.632251,0.5333681,0.06712878,8.489058,5.030727,5.11664
"10#138",10,-0.06022877,0.0005170372,0.03360816,0.04544682,9.594556,0.5340987,0.06937727,9.111296,5.304119,5.266697
"10#139",10,0.4769344,-0.0002043379,0.06172888,0.052936,8.527132,0.5369756,0.07542042,10.25723,6.24016,5.352154
"10#140",10,-0.05942966,7.017185E-05,0.01609809,0.06129996,7.680599,0.5498196,0.08263201,11.29453,6.364894,5.689157
"10#141",10,-0.2625193,-8.770227E-05,0.005091885,0.06764895,6.862971,0.5584275,0.08714493,12.31617,7.171536,6.175784
"10#142",10,0.7024363,-0.001004159,0.02287706,0.07043064,5.887484,0.5761833,0.08926519,12.78918,7.14143,6.408135
"10#143",10,0.3177722,0.0001910927,0.008011196,0.07302233,4.942613,0.5916135,0.09158568,13.22163,8.411292,6.738766
"10#144",10,-0.2189325,-0.0003411277,-0.03172751,0.0718019,4.026309,0.5984612,0.09217441,13.60992,8.052804,7.11359
"10#145",10,-0.4115803,-0.0002844008,0.003458443,0.07104903,3.653088,0.6009165,0.09249768,13.88454,7.417525,7.187759
"10#146",10,-0.3917357,-0.0001515118,0.02481842,0.07091976,3.409154,0.6139028,0.09217045,13.48462,7.555149,7.273426
"10#147",10,-0.08070337,6.267092E-05,-0.001149122,0.07249413,3.043594,0.6106874,0.09135834,13.63663,6.836755,7.3549
"10#148",10,0.5152909,-0.0004830984,-0.009024484,0.06930946,3.157174,0.6115681,0.0912157,13.36643,7.190289,7.478022
"10#149",10,0.1162908,0.0002275012,0.006471475,0.07382555,2.87079,0.6138716,0.09160388,13.84595,7.376261,7.355024
"10#150",10,-0.1641584,0.000488701,-0.01692789,0.07168608,2.926833,0.6141514,0.09193233,13.83041,8.040194,7.385276
"10#151",10,0.8205475,0.0002896883,0.009144816,0.06912204,2.298848,0.6294611,0.09127548,13.53746,7.905348,7.669999
"10#152",10,0.288801,-0.0003767081,0.01168361,0.06544976,1.894633,0.6309221,0.09030839,13.04566,7.351665,7.902735
"10#153",10,0.2226826,0.0003505255,0.01470074,0.06219007,1.55814,0.6309187,0.08933022,13.11184,7.146262,7.941576
"10#154",10,0.2182647,-5.752237E-05,0.003636064,0.06195534,1.659343,0.629507,0.0891395,12.69666,7.815166,7.989845
"10#155",10,-0.1286803,-0.0004967491,-0.01991648,0.05905889,1.245809,0.6395159,0.08932689,12.53537,8.404713,8.085288
"10#156",10,-0.57581,0.0001744489,-0.01788073,0.05759559,1.136509,0.6333046,0.0876803,12.40118,7.065204,8.009605
"10#157",10,0.2129689,-0.0003000256,-0.004094492,0.05268889,1.023493,0.640548,0.08691535,11.76604,7.315714,8.197888
"10#158",10,0.02781026,-2.604088E-05,0.01319254,0.0439366,0.3687521,0.6437036,0.0875133,10.32084,5.967408,8.212764
"10#159",10,-0.3572164,-0.0002692509,0.02913097,0.04475167,0.7101838,0.6480335,0.08742594,10.3896,5.469014,8.315696
"10#160",10,0.3684775,0.0004941578,-0.003041989,0.04145646,0.8071149,0.6467949,0.08708746,10.06087,5.879051,8.340632
"10#161",10,-0.2068378,0.001194355,-0.01592088,0.0417995,0.8777757,0.6457736,0.08684827,10.11192,5.646368,8.281313
"10#162",10,0.3442506,4.955395E-05,-0.02676521,0.04081236,0.7048229,0.6431937,0.08666336,9.996888,6.226377,8.094995
"10#163",10,0.626198,-0.0005206803,0.02962562,0.0389717,0.7862971,0.6456217,0.08661866,9.762506,5.517849,8.314224
"10#164",10,-0.1074323,0.0008257511,-0.02335876,0.03751625,0.4927415,0.6459314,0.08599293,9.276597,5.5232,8.338769
"10#165",10,0.3095378,-5.897005E-05,0.04102507,0.0332978,0.4556192,0.6502585,0.08692759,8.982193,5.276814,8.37367
"10#166",10,0.01506813,-9.102166E-05,-0.02678612,0.03390535,0.3585594,0.6463523,0.08663325,8.511974,4.554918,8.22508
"10#167",10,0.5465564,0.0009270583,0.05661496,0.03003848,0.3964227,0.6513484,0.08628229,8.176704,5.117973,8.324262
"10#168",10,-0.2290004,-2.798253E-06,-0.02953479,0.02410225,0.5134367,0.6516041,0.08566187,6.590342,3.822321,8.360824
"10#169",10,-0.8885457,-0.0006741546,0.02812118,0.01883182,-0.02120638,0.6498851,0.08501901,5.41016,2.992586,8.416405
"10#170",10,-0.08274103,-0.0007912737,0.003394657,0.01379542,0.1834083,0.6507879,0.08422456,4.049045,2.220711,8.410324
"10#171",10,-0.3328449,5.627209E-05,0.06501225,0.009641833,-0.07871506,0.6500282,0.0844313,2.567417,1.78181,8.3721
"10#172",10,0.1259032,0.0005162744,-0.0008374932,0.00573467,0.03085749,0.6464177,0.08429468,1.541271,1.41793,8.36777
"10#173",10,-0.8135846,-0.0007653343,-0.06177753,0.003702595,-0.07256077,0.6514949,0.08439592,1.079717,0.6915191,8.554354
"10#174",10,-0.3942062,0.0001698426,-0.01177421,0.002931595,-0.08837045,0.6449534,0.08373992,0.4277977,0.7061049,8.417063
"10#175",10,-0.143782,-0.0003953413,0.00330556,-0.000358396,-0.09399957,0.650851,0.0846626,0.3572673,-0.02246034,8.462224
"10#176",10,0.8549858,0.0001678505,-0.007131111,0.001077074,-0.0671927,0.652444,0.08329228,-0.0557835,0.2517433,8.424798
"10#177",10,0.3599398,0.0004261229,0.02145364,0.001193798,-0.2548726,0.6519836,0.0837503,0.2520585,-0.06363249,8.389105
"10#178",10,-0.2202074,-0.0006387987,0.02930572,-0.0006542892,0.1503391,0.6458107,0.08248617,0.09533922,0.1387669,8.441833
"10#179",10,-0.02725297,2.269956E-05,-0.007396498,-0.0002738707,0.1075822,0.6515722,0.08231044,0.2077898,0.02956181,8.424203
"10#180",10,0.6190894,-9.249296E-05,-0.01961035,-0.001766515,-0.1599752,0.6489238,0.08166325,0.1073883,-0.1778058,8.53532
"10#181",10,0.2317898,-1.225505E-05,0.02395726,-0.0004030277,-0.09461602,0.6491317,0.08166854,-0.08914284,-0.08800358,8.419579
"10#182",10,0.4740762,0.0003311297,-0.007449954,-0.002303261,0.06161673,0.6504714,0.08105049,-0.1032184,0.1334669,8.377851
"10#183",10,-0.1099191,-0.0006293707,-0.02330323,0.0003755023,0.1023102,0.6511433,0.0814123,0.1668964,-0.6641588,8.474654
"10#184",10,0.4397494,-0.0002293027,-0.002012371,-0.001029166,0.1642428,0.6532829,0.0807334,-0.02608734,0.1067842,8.424895
"10#185",10,0.06227044,-0.0007230461,0.03299783,-0.003833011,-0.04451832,0.6496183,0.08023396,-0.1653782,0.1674422,8.462379
"10#186",10,0.2787121,-0.0003503354,-0.0121326,-0.0005582659,-0.1686206,0.6504151,0.07911071,-0.2339371,0.2168153,8.381059
"10#187",10,-0.2819098,-7.262839E-05,0.01035281,0.0007830873,0.000324316,0.6522472,0.07891896,0.0862486,0.7048383,8.56338
"10#188",10,0.06943546,0.0006170769,-0.01318762,-0.002909069,0.137932,0.6498034,0.07872083,-0.1265173,-0.4719456,8.516766
"10#189",10,0.1396795,0.0003997473,-0.001868712,0.0004289251,-0.1622747,0.6547589,0.07774461,-0.007844874,-0.7887056,8.539809
"10#190",10,0.5243088,0.0005550188,-0.01532455,0.0007691301,-0.03707856,0.647622,0.07734284,0.1548277,0.01814765,8.486498
"10#191",10,0.06612759,-0.0001236473,0.004702584,-0.001276846,-0.0633771,0.6467603,0.07820886,0.07946035,0.2351347,8.66572
"10#192",10,-0.4409422,0.000890989,0.04606489,-0.0009253812,-0.1106619,0.6506118,0.07562576,-0.03186321,0.1224173,8.47953
"10#193",10,0.3332798,-0.0002271377,-0.004876719,0.003182855,-0.1852515,0.648667,0.07576084,0.2242583,-1.205895,8.422987
"11#1",11,28.8494,-0.0001992362,-0.02881853,0.0007465898,0.09252006,0.08749008,0.007479921,1.245081,0.7415541,0.04768544
